Sensor,Force
3537.0,0.0
3539.0,0.0
3498.0,0.0
3543.0,0.0
3549.0,0.0
3555.0,0.0
3536.0,0.0
3537.0,0.0
3621.0,0.0
3550.0,0.0
3555.0,0.0
3559.0,0.0
3554.0,0.0
3553.0,0.0
3557.0,0.0
3564.0,0.0
3551.0,0.0
3531.0,0.0
3542.0,0.0
3511.0,0.0
3539.0,0.0
3526.0,0.0
3551.0,0.0
3550.0,0.0
3408.0,0.0
3597.0,0.0
3532.0,0.0
3546.0,0.0
3543.0,0.0
3570.0,0.0
3548.0,0.0
3532.0,0.0
3557.0,0.0
3570.0,0.0
3553.0,0.0
3554.0,0.0
3538.0,0.0
3537.0,0.0
3538.0,0.0
3519.0,0.0
3536.0,0.0
3531.0,0.0
3539.0,0.0
3695.0,0.0
3517.0,0.0
3520.0,0.0
3537.0,0.0
3522.0,0.0
2951.0,0.52295387085
2968.0,0.49930258687999995
2997.0,0.49709176943
2997.0,0.50088664622
3017.0,0.50307573976
3003.0,0.5034096992
2909.0,0.49692467107
2946.0,0.49435062119999995
2935.0,0.5062230573400001
2945.0,0.48287425203
3001.0,0.5076315932
2943.0,0.5023505664
2938.0,0.50753716518
2944.0,0.49848389479000005
2960.0,0.5278707076
2963.0,0.50421894282
2997.0,0.51517641084
2979.0,0.49678848857999997
2983.0,0.49055497543000004
2961.0,0.4821847284
2944.0,0.52187940824
2921.0,0.50252684605
2942.0,0.50301406023
2934.0,0.49060575065
2919.0,0.48524328069
2915.0,0.49679185218
2899.0,0.49922672008
2902.0,0.47598232206
2897.0,0.51202105951
2929.0,0.50794775085
2915.0,0.5121219943800001
2947.0,0.50890530179
1546.0,0.98235881809
1595.0,1.03214782793
1567.0,1.03408409091
1559.0,1.00461110918
1518.0,0.97238523978
1481.0,1.00274190128
1495.0,0.97498364489
1478.0,1.02250185358
1470.0,1.0063915326400001
1445.0,1.02192102233
1487.0,1.04508089647
1472.0,1.00377364867
1486.0,0.98707473151
1489.0,0.9813764032000001
1523.0,1.0012680028
1525.0,1.02557696578
1547.0,1.04890749106
1574.0,1.04226013949
1524.0,0.99410420616
1518.0,0.99698400836
1510.0,1.00307894213
1542.0,0.9539299463199999
1520.0,0.9776785825800001
1507.0,0.94901293091
1505.0,1.01633104423
1535.0,1.0241123029
1498.0,1.04778638219
1474.0,1.03238792138
1487.0,0.98420936446
1507.0,0.9939858804299999
1520.0,0.9730450361099999
1517.0,1.05579472403
1465.0,1.01844774785
1507.0,0.96989582895
1517.0,1.02534520667
909.0,1.8071636393700001
907.0,2.07739666674
912.0,2.0636227432800003
913.0,1.9425002682599999
925.0,1.71031021739
940.0,1.9003058484600002
975.0,2.00525778347
980.0,2.1761496616
977.0,1.9425002682599999
980.0,2.18243140932
965.0,2.29767488309
943.0,1.99517604803
902.0,1.98071927147
929.0,1.8308357085
925.0,1.99545740237
944.0,1.7978449697
956.0,1.9917713024300001
962.0,1.94774015406
970.0,2.1390724366
974.0,2.10190649815
933.0,1.9349861140800002
976.0,2.2682871432900003
976.0,1.7115345116599998
960.0,2.0711115602300003
921.0,1.95127742964
922.0,1.6267833431199998
894.0,2.03877262529
871.0,2.25426489851
856.0,1.91557014693
855.0,2.0836438941699997
849.0,2.23316370691
877.0,2.08515831022
875.0,1.9017259130800002
895.0,2.0636227432800003
898.0,2.10305323461
904.0,1.80931584356
912.0,1.96925524731
906.0,1.92926670154
1419.0,1.19848751134
1465.0,1.23874414048
1434.0,1.24011799802
1437.0,1.14713374955
1425.0,1.16150733993
1411.0,1.16791800741
1421.0,1.16793484202
1418.0,1.1103658511399999
1411.0,1.20126319181
1403.0,1.18019835023
1422.0,1.1823203944
1420.0,1.22720801838
1428.0,1.15739653013
1421.0,1.2016869398799999
1426.0,1.18897347068
1439.0,1.1217519587
1439.0,1.19626327769
1441.0,1.18324926529
1445.0,1.20208800364
1453.0,1.24986984379
1453.0,1.1859347928300001
1551.0,1.19767358001
1455.0,1.22365892315
1451.0,1.20950496195
1447.0,1.24721569762
1400.0,1.1712015976299999
1447.0,1.1896871126000002
1452.0,1.2166948558700001
1456.0,1.1840745260599999
1441.0,1.20004371782
1439.0,1.21686052793
1457.0,1.20649540389
1449.0,1.2050236160699999
1459.0,1.17233851904
1453.0,1.24878791321
1456.0,1.2013215022300001
1438.0,1.1734558108900002
1431.0,1.17197050979
1424.0,1.25255661672
1423.0,1.16929698111
1414.0,1.16761546902
1407.0,1.24698257198
1393.0,1.23138238862
1391.0,1.20899098246
1394.0,1.20918787427
1407.0,1.1861108997199998
1414.0,1.25237075795
1421.0,1.19268633318
1420.0,1.23013955979
1421.0,1.1832588454100001
1409.0,1.17805659313
3248.0,0.26894770354
3218.0,0.23915539448999998
3200.0,0.25756553885
3123.0,0.22811570613999999
3152.0,0.25281791393
3120.0,0.22198938476000002
3127.0,0.26910178447
3117.0,0.28261246676
3096.0,0.2404841342
3081.0,0.24695501476999998
3053.0,0.26346793772
3050.0,0.26685496416
3037.0,0.26435072296
3049.0,0.28148041761000003
3081.0,0.25824952126
3071.0,0.23557265606000002
3094.0,0.26799571845000003
3057.0,0.24083546754
3040.0,0.24920469289
3110.0,0.22564941479999998
3088.0,0.26230895163999995
3069.0,0.22812810016
3110.0,0.25449273170000003
3111.0,0.26310141919
3101.0,0.26318733908
3114.0,0.25363694824
3130.0,0.25601147712
3136.0,0.27778070594000004
3175.0,0.2380432647
3274.0,0.24388492133
3136.0,0.27206341827
3133.0,0.25913855797999996
3133.0,0.23924530137
3087.0,0.25325403095
3103.0,0.26516287669
3118.0,0.26285932268
3106.0,0.24872810081
3120.0,0.25871002908
3125.0,0.25117176907
3097.0,0.23064678592
3057.0,0.22811570613999999
1949.0,0.73602132774
1891.0,0.71751616574
1890.0,0.76436116624
1953.0,0.71881061547
1883.0,0.7345582378300001
1899.0,0.76437797176
1902.0,0.78734335156
2011.0,0.77236353679
1918.0,0.7901451187699999
1918.0,0.75509581358
1957.0,0.72906544769
1977.0,0.77175982699
1973.0,0.73536598808
1981.0,0.747654949
1984.0,0.7738406501299999
1943.0,0.75469165742
1981.0,0.78405521615
1959.0,0.76637445421
1952.0,0.76263228606
1993.0,0.73739523157
1954.0,0.75295751936
1974.0,0.7271975039
1993.0,0.7624845840200001
1997.0,0.7613643316100001
1991.0,0.74618717443
1987.0,0.74258614627
1984.0,0.76546273
1968.0,0.7613539785000001
1939.0,0.7691765997700001
1932.0,0.73255519939
1930.0,0.76128742661
1938.0,0.77299499762
1952.0,0.7103988658
1953.0,0.7608043651399999
1909.0,0.75317568059
1951.0,0.7689327981899999
1966.0,0.74382148236
1952.0,0.7251901387799999
1950.0,0.74324977167
948.0,1.73577826269
930.0,1.7380483908000002
949.0,1.80310227046
960.0,1.77362466922
961.0,1.7235027017
971.0,1.67774515573
971.0,1.7303105145
974.0,1.73928437753
974.0,1.79274461097
970.0,1.77957741816
963.0,1.8149080909
977.0,1.77048848775
971.0,1.7600815326800001
975.0,1.79862216842
971.0,1.67980223427
975.0,1.86663275389
963.0,1.72523584299
960.0,1.8043864509099998
947.0,1.8077648315500001
927.0,1.78704454814
908.0,1.73536045619
903.0,1.76117895579
905.0,1.74852438514
901.0,1.75853648466
912.0,1.77611157748
915.0,1.80875544901
921.0,1.76858648952
930.0,1.77422588672
933.0,1.67290005162
934.0,1.7470973369599998
944.0,1.86113576374
947.0,1.85756472528
944.0,1.7761269891699998
944.0,1.68942851353
770.0,1.71466913024
950.0,1.828066696
946.0,1.7520808243700001
951.0,1.7643976668899999
767.0,1.79863306274
947.0,1.67521471392
942.0,1.72680513959
933.0,1.77521697792
927.0,2.21486912768
920.0,2.28139572854
921.0,2.28439371213
927.0,2.2078686927
947.0,2.2509317832800004
973.0,2.2081680468599996
992.0,2.33330771108
981.0,2.26323850747
970.0,2.22149702314
981.0,2.32441524932
982.0,2.25453801936
973.0,2.26150612655
951.0,2.33424075314
941.0,2.2539324557400002
946.0,2.27285536568
959.0,2.25512720497
976.0,2.24078734661
969.0,2.2684727225000003
983.0,2.38247464104
990.0,2.24999585818
987.0,2.25183237801
976.0,2.1885023601799998
975.0,2.31771382745
963.0,2.32201131381
965.0,2.25199067427
976.0,2.266235574
1017.0,2.25251196053
1033.0,2.2429475494799997
1078.0,2.23564723828
976.0,2.27497738682
967.0,2.2687819308100003
969.0,2.2886773692199998
862.0,2.24017269215
975.0,2.1723574673500003
981.0,2.2844370663899998
995.0,2.3023045733200003
569.0,2.41340078318
565.0,2.56617042561
560.0,2.43693860651
558.0,2.5999183536199997
557.0,2.55968310001
558.0,2.39105228125
560.0,2.5577194473200002
561.0,2.49048140542
571.0,2.5381910163
598.0,2.57447628347
582.0,2.5859872309100003
586.0,2.57841021614
606.0,2.5128119015
611.0,2.5001206259
623.0,2.62020194445
611.0,2.43125694344
587.0,2.55334538453
566.0,2.56264310021
530.0,2.5128932207399997
532.0,2.44402731571
592.0,2.4810496786200003
534.0,2.57901058121
539.0,2.44948309195
545.0,2.39652685286
547.0,2.49064544583
547.0,2.55865655707
557.0,2.45196993243
554.0,2.4777526514
552.0,2.50062149316
549.0,2.52928238788
553.0,2.486875308
551.0,2.44035446909
545.0,2.51990447016
547.0,2.48942706964
542.0,2.46758627504
541.0,2.55336930083
540.0,2.39842481081
543.0,2.55279822447
546.0,2.56094264128
477.0,2.64087762847
463.0,2.7278634469100003
458.0,2.68036554165
452.0,2.63402061204
454.0,2.7018193956300003
462.0,2.77952778584
468.0,2.85682148237
457.0,2.7011603430199997
469.0,2.77513403617
474.0,2.61290465823
474.0,2.66195228612
484.0,2.8036156330499997
473.0,2.64764450975
475.0,2.67361238326
470.0,2.6985706928999997
486.0,2.92228436509
475.0,2.87182874424
483.0,2.7474383924
481.0,2.64690179696
480.0,2.92242163131
481.0,2.69504820172
481.0,2.80489493499
470.0,2.85687099111
458.0,2.74754940596
447.0,2.65826310629
442.0,2.69019673413
442.0,2.7611605401
439.0,3.01309541284
446.0,2.72625805807
448.0,2.76423861313
452.0,2.8216646749
449.0,2.6852898585
445.0,2.6368203280799998
433.0,2.73244530743
444.0,2.70973079023
464.0,2.62375454772
473.0,2.8532804551999997
467.0,2.83597590052
482.0,3.1012909778799997
483.0,3.0023412294200003
496.0,2.97726020784
496.0,3.0844501326300002
498.0,3.1564749327599997
502.0,3.01169691084
501.0,2.81706395485
499.0,3.00502963967
517.0,2.94149810271
486.0,2.9894026612799998
535.0,3.02738175665
511.0,2.99605809777
503.0,3.21304727585
483.0,3.07568625797
498.0,3.0006556135199998
507.0,3.01396479104
496.0,2.99045442546
537.0,3.20908008812
499.0,2.93580187891
497.0,2.90944842668
501.0,3.0074784075
499.0,3.10943841486
497.0,2.83471800425
496.0,2.86312557575
493.0,2.96218224087
484.0,3.02661249003
491.0,2.90203468307
505.0,3.11383988646
499.0,2.98468136383
496.0,2.96848667167
491.0,3.07528517793
